Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2021-08-01T00:00Z,219,218,moderate
2021-08-01T00:30Z,209,216,moderate
2021-08-01T01:00Z,204,210,moderate
2021-08-01T01:30Z,203,197,moderate
2021-08-01T02:00Z,204,195,moderate
2021-08-01T02:30Z,208,193,moderate
2021-08-01T03:00Z,213,194,moderate
2021-08-01T03:30Z,208,196,moderate
2021-08-01T04:00Z,206,207,moderate
2021-08-01T04:30Z,206,198,moderate
2021-08-01T05:00Z,205,202,moderate
2021-08-01T05:30Z,204,204,moderate
2021-08-01T06:00Z,207,206,moderate
2021-08-01T06:30Z,205,203,moderate
2021-08-01T07:00Z,210,210,moderate
2021-08-01T07:30Z,210,201,moderate
2021-08-01T08:00Z,212,204,moderate
2021-08-01T08:30Z,211,202,moderate
2021-08-01T09:00Z,217,204,moderate
2021-08-01T09:30Z,219,202,moderate
2021-08-01T10:00Z,222,209,high
2021-08-01T10:30Z,221,214,high
2021-08-01T11:00Z,222,218,high
2021-08-01T11:30Z,225,216,high
2021-08-01T12:00Z,220,209,high
2021-08-01T12:30Z,209,213,moderate
2021-08-01T13:00Z,205,210,moderate
2021-08-01T13:30Z,200,198,moderate
2021-08-01T14:00Z,203,199,moderate
2021-08-01T14:30Z,202,200,moderate
2021-08-01T15:00Z,201,204,moderate
2021-08-01T15:30Z,208,197,moderate
2021-08-01T16:00Z,217,200,moderate
2021-08-01T16:30Z,222,210,high
2021-08-01T17:00Z,225,215,high
2021-08-01T17:30Z,220,219,high
2021-08-01T18:00Z,223,219,high
2021-08-01T18:30Z,228,220,high
2021-08-01T19:00Z,235,223,high
2021-08-01T19:30Z,243,227,high
2021-08-01T20:00Z,244,229,high
2021-08-01T20:30Z,251,238,high
2021-08-01T21:00Z,252,239,high
2021-08-01T21:30Z,250,242,high
2021-08-01T22:00Z,246,247,high
2021-08-01T22:30Z,248,239,high
2021-08-01T23:00Z,246,234,high
2021-08-01T23:30Z,238,235,high
2021-08-02T00:00Z,232,233,high
2021-08-02T00:30Z,231,226,high
2021-08-02T01:00Z,230,226,high
2021-08-02T01:30Z,230,216,high
2021-08-02T02:00Z,224,218,high
2021-08-02T02:30Z,220,219,high
2021-08-02T03:00Z,217,216,moderate
2021-08-02T03:30Z,218,211,moderate
2021-08-02T04:00Z,217,209,moderate
2021-08-02T04:30Z,220,210,high
2021-08-02T05:00Z,222,216,high
2021-08-02T05:30Z,229,218,high
2021-08-02T06:00Z,236,224,high
2021-08-02T06:30Z,237,226,high
2021-08-02T07:00Z,239,231,high
2021-08-02T07:30Z,236,228,high
2021-08-02T08:00Z,238,231,high
2021-08-02T08:30Z,236,227,high
2021-08-02T09:00Z,233,229,high
2021-08-02T09:30Z,231,227,high
2021-08-02T10:00Z,229,224,high
2021-08-02T10:30Z,224,223,high
2021-08-02T11:00Z,224,222,high
2021-08-02T11:30Z,226,223,high
2021-08-02T12:00Z,230,220,high
2021-08-02T12:30Z,230,221,high
2021-08-02T13:00Z,227,221,high
2021-08-02T13:30Z,232,221,high
2021-08-02T14:00Z,239,226,high
2021-08-02T14:30Z,247,229,high
2021-08-02T15:00Z,248,235,high
2021-08-02T15:30Z,256,240,high
2021-08-02T16:00Z,259,125,high
2021-08-02T16:30Z,254,196,high
2021-08-02T17:00Z,254,252,high
2021-08-02T17:30Z,256,246,high
2021-08-02T18:00Z,260,246,high
2021-08-02T18:30Z,266,248,high
2021-08-02T19:00Z,272,253,high
2021-08-02T19:30Z,271,258,high
2021-08-02T20:00Z,275,263,high
2021-08-02T20:30Z,274,262,high
2021-08-02T21:00Z,269,266,high
2021-08-02T21:30Z,262,259,high
2021-08-02T22:00Z,254,252,high
2021-08-02T22:30Z,248,243,high
2021-08-02T23:00Z,241,242,high
2021-08-02T23:30Z,238,237,high
2021-08-03T00:00Z,233,229,high
2021-08-03T00:30Z,230,228,high
2021-08-03T01:00Z,230,224,high
2021-08-03T01:30Z,229,218,high
2021-08-03T02:00Z,229,218,high
2021-08-03T02:30Z,226,219,high
2021-08-03T03:00Z,226,218,high
2021-08-03T03:30Z,230,221,high
2021-08-03T04:00Z,232,217,high
2021-08-03T04:30Z,233,220,high
2021-08-03T05:00Z,237,227,high
2021-08-03T05:30Z,233,235,high
2021-08-03T06:00Z,239,236,high
2021-08-03T06:30Z,245,235,high
2021-08-03T07:00Z,246,238,high
2021-08-03T07:30Z,250,239,high
2021-08-03T08:00Z,248,240,high
2021-08-03T08:30Z,241,241,high
2021-08-03T09:00Z,236,237,high
2021-08-03T09:30Z,233,228,high
2021-08-03T10:00Z,227,226,high
